ID	COMPOUND_ID	SPECIES_TEXT	SPECIES_ACCESSION	COMPONENT_TEXT	COMPONENT_ACCESSION	STRAIN_TEXT	STRAIN_ACCESSION	SOURCE_TYPE	SOURCE_ACCESSION	COMMENTS
12125	81256	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	24284963	null
12138	88909	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12139	88909	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12142	88910	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12143	88910	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12145	88911	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12147	88912	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	22284503	null
12148	88912	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	23454028	null
12152	34128	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	21359215	null
12153	88913	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12154	88913	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12156	88914	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12157	88914	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12159	88915	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12160	88915	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12161	88916	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12162	88917	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12163	88918	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12164	88918	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12165	88919	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12166	88919	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12167	88920	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12168	88920	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12169	88921	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12182	88922	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12183	88922	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12184	88923	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12185	88923	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12186	88924	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12187	88924	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12194	88925	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12195	88926	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12198	88927	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12199	88927	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12200	88928	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12201	88928	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12204	88929	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12205	88930	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12209	88931	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12219	88932	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12220	88932	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12223	88933	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12224	88933	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12227	88934	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12228	88934	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12230	88935	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12231	88935	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12232	88936	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12233	88937	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12242	88938	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12243	88939	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12244	88940	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12245	88941	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12246	88942	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12247	88943	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12254	88944	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12255	88945	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12259	88946	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12260	81559	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	18953024	null
12262	16709	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	16690736	null
12263	16709	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	22932811	null
12278	88947	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	11586436	null
12279	88948	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	18953024	null
12297	88950	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	22372404	null
12298	88951	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12300	88952	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	18953024	null
12302	88954	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	18439883	null
12307	25351	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	2702744	null
12308	25351	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	10947201	null
12313	15753	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	8087979	null
12318	88955	Homo sapiens	NCBI:txid9606	cerebrospinal fluid	UBERON:0001359	null	null	PubMed Id	14978525	null
12331	88956	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	22308371	null
12372	88957	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12377	88958	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12381	88959	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12383	88960	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12384	17015	Homo sapiens	NCBI:txid9606	cerebrospinal fluid	UBERON:0001359	null	null	PubMed Id	182198	null
12385	17015	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	Article	Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.	null
