peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Subject,184,214,289,317,320,327,348,353,373,387,408,461,528,739
M232T230_POS,232.17346026361537,232.1732742669389,232.1739521884811,229.50584411621094,228.88050842285156,233.63961791992188,11,11,NA,NA,411156.2634765626,519405.8115528499,507629.70887245965,599874.232487013,353969.47754551657,403936.7652903631,391356.7068811666,287209.6587511163,476082.83868086035,325262.2464907221,NA,132248.61943470995
M232T369_POS,232.15396837673987,232.1538606439149,232.1622529690533,368.914,368.2986145019531,370.771240234375,7,7,NA,366055.81869872997,438978.7293656952,635320.1075976595,1024836.7702190016,NA,528549.7672043582,NA,NA,NA,374664.03590136487,NA,248302.26346986505,NA
M232T296_POS,232.17230842314814,232.17214197834573,232.1726817874867,296.0054168701172,295.1213684082031,300.73114013671875,14,14,1862498.3619941818,651429.5519353292,12204963.285526572,9629104.852574877,8623106.658149287,4945670.885651788,7104741.799552112,6116979.122854508,6502613.434434998,6092544.023576233,7464398.8306060415,3066816.8232049174,5032933.114354424,2445753.24418246
M232T827_POS,232.18009266755087,232.1799558445901,232.180643960406,827.28936767578125,825.52874755859375,829.28594970703125,12,12,NA,NA,142951647.83430317,84995895.62290615,74431549.94495468,30022946.067490272,28310416.86685422,41634517.3992971,28945173.436807718,32344595.17630278,45434291.33399141,6391344.120291698,16357315.91977086,9683245.131583367
M232T439_POS,232.19023568543474,232.18993398038472,232.19083696282465,438.62144470214844,437.9869384765625,439.5525817871094,10,10,NA,NA,292481.88293274934,685811.9386904305,305740.96747102914,358807.67010909587,210772.48025585854,202714.05975976656,NA,NA,110208.38359500557,392552.1509734936,163430.46457161428,188688.6130358067
M233T189_POS,232.98505745843568,232.98491131571595,232.98548995860875,188.64209747314453,167.82664489746094,199.3332061767578,20,12,6068969.226888115,NA,NA,20503374.198601294,25972853.612003908,33443500.880281277,31671351.556597758,125405425.97273135,63805329.35700862,129960325.23662294,6209786.6867956715,54818537.745908745,38000644.43725001,12042059.56818428
M233T827_1_POS,233.00894530604688,232.9991623369064,233.01550848731185,826.63116455078125,824.66900634765625,829.36761474609375,7,7,997906.9398378292,818395.215737912,302935.72180468985,NA,NA,NA,420494.0898418005,NA,NA,457919.48523940006,329792.07303106657,NA,NA,868283.7894808735
M233T828_POS,233.04230059431092,233.03231775837003,233.04293939730286,827.822998046875,821.5272216796875,838.496337890625,15,14,13480277.197789077,13474590.21516492,3486879.7210738515,5317229.6688647615,4407465.57375132,4308549.665465522,4387583.312188975,4949002.752882683,5179090.97463758,4715770.52193993,4944196.558937838,8999426.66634332,4940305.651714988,6546210.683818084
M233T53_POS,233.05522574609,233.05508509805867,233.05565946160237,53.440399169921875,49.64719009399414,73.08057403564453,15,12,34211299.7016137,48106733.30829472,37640158.286503896,59701492.507232904,25233696.161834493,16175394.264000002,25384344.957913175,20928957.253944825,22092469.497231826,20136318.335961815,20329941.59419208,NA,15965168.98584375,NA
M233T36_POS,233.05525692668738,233.05506625535298,233.05576083336445,35.65878677368164,33.22197723388672,42.03621292114258,9,8,NA,89629539.2392712,NA,NA,35432583.80812246,44444449.92194147,31493764.13074218,NA,40358240.53716753,NA,38987548.71122773,26108450.41484531,NA,15115936.719863785
M233T221_POS,233.06402811054505,233.06383288349033,233.06445984294393,220.79222869873047,220.16720581054688,222.01937866210938,12,12,5770376.851687495,NA,10689479.956366139,NA,452497.6223912767,3029056.7235808237,3284916.6194530656,1055259.028865094,5253895.956169729,2186722.8924609385,1511834.6594925646,3109286.4658376854,2637479.950812893,3388351.7888141247
M233T314_POS,233.0779508870782,233.07745299422686,233.07841543512455,314.4211120605469,310.60137939453125,316.0823974609375,14,14,11019640.271238511,9742432.966364391,2676957.4356682454,4525351.755543936,5217119.108954991,3626594.48461527,3615185.120785795,5324372.928213341,3168471.6098027425,4242020.982758435,3306990.4664273574,5741753.745892556,4221582.591740868,4258999.95812674
M233T342_1_POS,233.07797149245704,233.0778037341944,233.07842212538694,341.8203125,340.8860168457031,343.0645751953125,13,13,10465685.43210936,13485627.451944314,2936125.5232202667,231345756.73803353,5724312.64777525,5518397.342728037,NA,4788741.998229166,2942024.914137566,4382140.921576267,11554536.698113741,5641043.54280324,6222868.379976186,6859679.507435169
M233T342_2_POS,233.10453846478208,233.1043151819679,233.11421634329483,342.4446105957031,336.524,343.07012939453125,13,13,374799.0081388351,363442.96448632696,431571.09985714604,NA,679396.775078122,1025529.7777578181,3023399.962604496,1011378.9760748908,628228.8159392189,617107.4970636154,769907.2013032674,31034417.418659303,39772110.12568351,27759962.245118853
M233T367_POS,233.10472003766,233.10439356031057,233.11427698313156,367.156494140625,357.397,380.4325256347656,14,13,476094.01551562507,628275.3058342999,NA,1208081.147222714,2488442.788824472,931489.9890285626,1737894.4511173712,987517.6740169278,626564.2401964647,653486.2596076747,4196894.649585933,21397917.48215207,29051865.143599637,34648422.272111624
M233T448_POS,233.11332353488018,233.11169172008823,233.11732937497536,447.6513214111328,438.2977294921875,465.9945068359375,16,12,997518.1280357152,1042646.3899646879,1494045.1393092156,2408498.5701399045,NA,436805.3819635395,587742.5951214825,477540.35770397633,3641788.666361872,NA,601751.2357781567,685299.0146968906,2565378.331006696,183496.84719476264
M233T257_POS,233.12572456268128,233.12534765871308,233.12609747844598,256.5633239746094,254.27772521972656,268.775634765625,11,8,NA,866893.2554750013,930005.0764903511,NA,2450625.5145747974,309278.2838630647,NA,NA,322555.6101467315,NA,NA,617180.688577008,1046213.5792307698,631746.515828517
M233T49_POS,233.15730944459926,233.1570041674318,233.1578099102185,49.22465515136719,40.818153381347656,50.687252044677734,15,14,3511039.374295019,5990606.048110226,576394.9098046876,6188113.345649056,5761028.841189958,5711256.706060547,7217505.563549738,6062490.603989436,7196206.933558919,7411379.037665437,12049412.838070288,4641427.503052438,3113977.722643667,6282355.785256932
M233T438_POS,233.15061825932844,233.1504843033798,233.15105410866815,437.99798583984375,432.3897705078125,438.31640625,9,9,NA,NA,1251774.4693416015,NA,NA,1584328.390756837,2076451.2549825031,2324481.431793702,2576220.610166667,2693141.6532898755,1985190.810809544,2514908.808356249,2754098.03833184,NA
M233T827_2_POS,233.18336355157842,233.18328510393414,233.18382609780744,826.650634765625,825.86700439453125,828.63531494140625,9,9,NA,NA,12722989.681121076,6241825.0214414215,4801070.587916017,3396171.422780171,NA,3571421.3361209673,3430159.496709363,2260551.1558507103,3087070.2676497498,NA,2529229.494903903,NA
M233T469_POS,233.18948860812176,233.18940250597714,233.18987639341174,468.8299865722656,468.4869079589844,470.464111328125,9,9,NA,NA,2511406.9442836824,2913812.192801116,NA,2009321.4902989368,3158130.5408052457,1476835.078440018,1935417.8427626914,2578307.0090530235,1983077.6580851157,1670577.682068146,NA,NA
M233T524_POS,233.2108932515373,233.21066392843474,233.2112597695129,523.65081787109375,522.40203857421875,524.2900390625,9,9,NA,NA,331606.59113333444,310912.62446691154,NA,213175.1698751516,NA,539000.3660372114,223788.92248326156,165230.30502492373,163755.33722460945,154251.28904083575,NA,293585.6297385833
M234T892_POS,233.9816439793157,233.9814427622482,233.98208804708452,891.999755859375,877.5257568359375,901.8026123046875,24,14,108204293.24026199,222005675.76152605,332337613.4892324,324127094.0474664,311251010.0648559,321648980.8541193,495075096.2644252,215842841.90250078,334614976.77777535,231598302.53271335,277101523.49600077,118291166.43978967,208436130.9102054,179119395.93599862
M234T1012_POS,233.981677028549,233.98151722600738,233.98209036034572,1012.4414147949219,1002.7012329101562,1022.3200219726563,22,14,228699574.87714216,113979582.79949968,331383335.2382602,329974013.04214424,273724544.6399968,689558603.4950892,603190278.0421889,102309677.80800015,399845802.84278977,323728439.32648546,239830278.8200006,197656438.61185172,152506333.65368587,77459316.01777941
M234T992_POS,233.9816626355089,233.98148587444416,233.98208213723967,992.08990478515625,981.19512939453125,1001.7930297851562,23,14,122561365.24309,121793329.5911431,459500017.356001,338476466.71275955,1097962114.9014454,216732780.22247815,556974222.3384393,557163213.6056964,171662892.091999,227994441.07915488,276656928.6197145,238957139.3200001,385518083.16120046,441621241.1742853
M234T866_POS,233.9815624256789,233.98140414763995,233.98204069998081,866.05535888671875,847.77362060546875,871.051025390625,15,14,394466165.5027106,592688494.0516571,890684655.2863233,518042923.2001972,484363656.48415846,937792402.7000097,1094038468.2359653,969191495.26241,996521552.4562352,877505445.7731159,884075959.1976252,664835476.6378888,740217113.5606935,763313538.3515866
M234T933_POS,233.98164774980265,233.98148583444188,233.9820698555597,932.9527587890625,927.636,939.156982421875,13,12,235366033.1097144,203975987.5736458,784963351.2678633,370753348.30425096,808849603.5762813,463680803.56173164,954218609.7427225,306716731.8460023,746110115.8460994,NA,NA,231725981.32363656,202936696.84169313,288576621.7922163
M234T120_POS,233.9816862868126,233.9815301997785,233.98171719906318,120.193,113.33171081542969,128.9296417236328,9,8,NA,NA,618380279.5795792,459373327.25299054,528339853.7772171,468533571.1146814,296382148.8495758,350438284.312168,83779633.54896967,283821239.2258864,NA,NA,NA,NA
M234T952_POS,233.9820747217753,233.98151635401962,233.992821527216,952.2353515625,940.1163330078125,963.4503173828125,40,14,131301342.4706946,371568618.27900064,371449814.3288878,696653628.1019683,21075781.37152942,447604072.9058184,12678320.271945713,12107150.393249955,20684936.074865464,18566451.47031069,240208943.7312471,4467329.001784015,174164756.95308992,11992902.575172342
M234T972_POS,233.98197334587672,233.98153041481066,233.99279572156013,971.5541076660156,964.3616943359375,979.62579345703125,26,14,248996616.48864344,208781411.94499844,22392385.947674926,347545781.67199725,19229202.924177486,20932117.161559243,38402177.202864505,606516545.4887787,525185871.92571574,13395750.337259645,284862145.5206924,176908526.38874894,12267362.247616801,15108203.643263958
M234T914_POS,233.98205921065755,233.9814529879982,233.99291607882768,913.624,903.35638427734375,922.3414306640625,35,14,133334371.28412996,186393860.87922594,282004471.2967586,13517919.352374895,276446173.1298357,17449571.075150043,11029943.244612658,16844042.212312497,354872510.0523157,12100102.556499997,721003565.795082,297740266.70520127,566341857.1606311,174133675.7809092
M234T869_POS,233.99246712005123,233.992202520666,233.99301001121034,869.4745178222656,853.15435791015625,890.59979248046875,32,12,NA,NA,21268102.30038482,22006509.39629032,14965658.696249979,39111646.11624994,12959062.923238229,13592731.533341112,25285101.873209182,13119489.182543507,14019939.163977426,16910579.40672766,16527911.355899269,16378156.801417843
M234T840_POS,233.9924930054045,233.99235909839987,233.99292165568127,840.35601806640625,836.62432861328125,842.958740234375,13,12,NA,NA,14666668.007680051,9847089.071709195,16678913.018939046,10675015.95881966,12554366.912968744,7590466.987018781,9128253.256999897,9132479.980541615,13562006.012969388,2346160.3342100824,8898534.519190736,6043681.434294691
M234T993_POS,233.992532934589,233.99226747052234,233.9928475041788,993.1726989746094,982.158203125,1003.7138671875,18,11,NA,NA,25752939.916632183,17519405.3618751,15694472.950749954,41635304.811205655,13527695.306298122,17378145.473447036,11392848.454948738,12206725.119300041,43827579.74359032,NA,14322396.778645765,18821921.129333287
M234T1014_POS,233.99252508043799,233.99228724177954,233.99282247018144,1013.9237060546875,1007.6832275390625,1019.8298950195312,13,9,NA,NA,NA,29466718.578097947,22680408.566145714,12725422.575815145,14517343.75208328,11240406.454999939,16433135.326015655,8426232.708088344,NA,NA,8266128.312000012,15758171.2481579
M234T931_POS,233.99244580776872,233.99229759649393,233.9928211341647,931.36669921875,926.69940185546875,932.61474609375,7,7,NA,NA,22991059.09706665,16973030.566879842,17622653.494444635,NA,49304854.60410316,13145724.574499998,NA,NA,NA,6311303.157005873,NA,24273212.818745833
M234T361_POS,234.00130917575927,234.00114034630593,234.0016084160929,360.5100506591797,359.8791198730469,360.82275390625,8,8,NA,NA,NA,134826.4009562996,186263.0572778327,203322.5066386722,59159.90069196422,422612.11998201214,NA,NA,NA,159624.9849367199,197295.93174682578,174197.89561931803
M234T827_POS,234.0182465967527,234.01811293702673,234.01877543726187,827.4681091308594,826.661865234375,831.45684814453125,14,14,52151195.60253412,60210190.971262254,182851627.1176164,171521940.58748123,178433161.2226136,176410659.7018287,141232276.02236748,164857472.86692032,146240683.17806438,148241542.42025992,161176279.0690331,83243567.4075814,138529830.36414778,100483036.49150245
M234T682_POS,234.01844233240217,234.0182644395261,234.01883335719666,681.94952392578125,668.81292724609375,690.91632080078125,13,11,6632419.444074981,NA,62942981.61980816,81227011.55473675,49298221.35699979,145208069.7792864,47154301.87344661,75959723.64003372,77943201.96870984,102346800.5732081,64609856.35259268,NA,32401579.231500044,NA
M234T648_POS,234.01848542643117,234.01832821698056,234.01883526127392,648.1032409667969,630.921875,660.33599853515625,18,12,8843541.665489206,8020563.169263932,14478751.258223822,28224817.1409917,32046446.528264046,34721697.66932442,67182315.10673448,18172391.598472007,28098631.927107606,20307522.555637404,NA,NA,24665823.15706672,14133676.449375032
M234T588_POS,234.01876892279586,234.01832596634154,234.0189269994853,588.00262451171875,584.903564453125,602.43218994140625,9,7,10159541.230352903,6227575.518364537,NA,NA,12022806.877753248,12175430.910327137,NA,NA,9405775.110353123,NA,NA,NA,7565991.775178507,5099918.333809054
M234T276_1_POS,234.04966392256273,234.04951500213465,234.04999205309474,276.1544184570313,274.83306884765625,280.81231689453125,14,14,4036790.282318179,2488714.7206496685,705176.1121492628,3310115.641571238,2268464.685884235,1314866.8936139056,676652.8403007777,1479016.4556446087,1146747.3685240273,615407.3006861435,3131865.1596570946,680380.7665394524,1459444.6816007125,1275267.0284688277
M234T276_2_POS,234.07566520458903,234.07547389502702,234.0810221537909,276.4564208984375,263.4083251953125,279.2591857910156,15,13,1338377.5877691058,819914.9945527391,268748.1267356761,1447072.394338837,923313.3832446302,559078.9237669273,251345.1770556625,657073.9995336917,NA,162130.07559155178,1294584.0732333101,452947.1745679692,443946.07879934186,195748.87975986957
M234T42_POS,234.07920943032877,234.07880542808508,234.07977634021194,42.15313720703125,32.45257568359375,49.38973617553711,10,10,221608.9175248603,NA,701511.6972840616,1513865.2961722098,398946.41932291625,NA,306599.9740945313,357329.6168730466,NA,456705.27643298596,659077.5868478236,NA,535970.4698132031,249798.88570390668
M234T342_POS,234.0814801703538,234.0811561909288,234.08194152775795,341.8204803466797,340.8860168457031,343.3752746582031,12,12,1003596.065671873,1274700.6743426481,236299.723849429,27188525.778497126,524227.24935459014,469185.6681415503,NA,382272.29731571913,NA,313685.4912983132,1127818.5542669296,484761.79815234395,586125.3998813487,564945.1435432754
M234T483_POS,234.11911227628428,234.11892313578545,234.11962288280841,483.4626159667969,483.0899658203125,484.69915771484375,8,8,NA,NA,NA,NA,246853.60513393042,177939.62623788926,NA,NA,186239.38124804507,203434.98678369023,189013.87793749996,402976.8359724272,224892.13378125033,359292.2885499983
